timesteps,episode_reward,episode_length,is_success
44300,-4.0,50,1.0
44350,-1.0,50,1.0
44400,-3.0,50,1.0
44450,-2.0,50,1.0
44500,-2.0,50,1.0
44550,-3.0,50,1.0
44600,-3.0,50,1.0
44650,-1.0,50,1.0
44700,-2.0,50,1.0
44750,0.0,50,1.0
44800,-2.0,50,1.0
44850,-2.0,50,1.0
44900,-1.0,50,1.0
44950,-2.0,50,1.0
45000,-3.0,50,1.0
45050,-2.0,50,1.0
45100,-3.0,50,1.0
45150,0.0,50,1.0
45200,-2.0,50,1.0
45250,-2.0,50,1.0
45300,-2.0,50,1.0
45350,-1.0,50,1.0
45400,-1.0,50,1.0
45450,-2.0,50,1.0
45500,-3.0,50,1.0
45550,-3.0,50,1.0
45600,-1.0,50,1.0
45650,-3.0,50,1.0
45700,-1.0,50,1.0
45750,-3.0,50,1.0
45800,-1.0,50,1.0
45850,-2.0,50,1.0
45900,0.0,50,1.0
45950,0.0,50,1.0
46000,-2.0,50,1.0
46050,0.0,50,1.0
46100,0.0,50,1.0
46150,0.0,50,1.0
46200,-2.0,50,1.0
46250,-1.0,50,1.0
46300,-2.0,50,1.0
46350,-2.0,50,1.0
46400,-4.0,50,1.0
46450,-2.0,50,1.0
46500,-2.0,50,1.0
46550,-2.0,50,1.0
46600,0.0,50,1.0
46650,-2.0,50,1.0
46700,-2.0,50,1.0
46750,-1.0,50,1.0
46800,-1.0,50,1.0
46850,-2.0,50,1.0
46900,-2.0,50,1.0
46950,-3.0,50,1.0
47000,-2.0,50,1.0
47050,-2.0,50,1.0
47100,0.0,50,1.0
47150,-2.0,50,1.0
47200,-1.0,50,1.0
47250,-3.0,50,1.0
47300,-1.0,50,1.0
47350,-1.0,50,1.0
47400,-1.0,50,1.0
47450,-2.0,50,1.0
47500,0.0,50,1.0
47550,-3.0,50,1.0
47600,-2.0,50,1.0
47650,-1.0,50,1.0
47700,-1.0,50,1.0
47750,-2.0,50,1.0
47800,-1.0,50,1.0
47850,-2.0,50,1.0
47900,-2.0,50,1.0
47950,-2.0,50,1.0
48000,-1.0,50,1.0
48050,0.0,50,1.0
48100,-2.0,50,1.0
48150,-2.0,50,1.0
48200,-1.0,50,1.0
48250,-3.0,50,1.0
48300,-2.0,50,1.0
48350,-2.0,50,1.0
48400,-2.0,50,1.0
48450,-2.0,50,1.0
48500,-1.0,50,1.0
48550,0.0,50,1.0
48600,-3.0,50,1.0
48650,-2.0,50,1.0
48700,-2.0,50,1.0
48750,-1.0,50,1.0
48800,-1.0,50,1.0
48850,-2.0,50,1.0
48900,-5.0,50,1.0
48950,-1.0,50,1.0
49000,-2.0,50,1.0
49050,-3.0,50,1.0
49100,-2.0,50,1.0
49150,-2.0,50,1.0
49200,-2.0,50,1.0
49250,-3.0,50,1.0
49300,0.0,50,1.0
49350,-2.0,50,1.0
49400,-1.0,50,1.0
49450,-1.0,50,1.0
49500,-2.0,50,1.0
49550,-3.0,50,1.0
49600,0.0,50,1.0
49650,-3.0,50,1.0
49700,0.0,50,1.0
49750,0.0,50,1.0
49800,-2.0,50,1.0
49850,-2.0,50,1.0
49900,-2.0,50,1.0
49950,-2.0,50,1.0
50000,0.0,50,1.0
50050,-2.0,50,1.0
50100,-2.0,50,1.0
50150,-1.0,50,1.0
